圖層,地圖名稱,編號,NUMBER,ID,縣市,行政區,區別,位置,案名,計畫書名稱,完工案名,建案案名,實施者,目前狀態,核准日期,事業計畫核定日期,公告日期,公告年度,基地面積,地區範圍面積,面積(㎡),實施方式,主導類型,備註,相關資訊,經度,緯度,●　代銷公司,●　使用分區,●　坪數規劃,●　基地位置,●　基地面積,●　建案類別,●　建設公司,●　樓層規劃,●　規劃戶數,併分送,名稱,失效與否,完工年度,建築師,得標廠商,文號,法令依據,規劃單位,說明
更新地區-都市計畫,中研院機關用地東北角(中南二小段),臺北208,,,臺北市,南港區,,,,變更臺北市南港區中南段二小段383等地號第三種住宅區、公園用地為道路用地及第三種住宅區計畫案,,,,,,,2003/11/05,,,10485.0,,,,,,121.61518674999999,25.04429825,,,,,,,,,,,,,,,,,,,
更新地區-都市計畫,南港經貿C12、C13,臺北222,,,臺北市,南港區,,,,配合第二代展會中心變更臺北市南港經貿園區特定專用區 C12、C13 街廓商業區及週邊商業區細部計畫案,,,,,,,2008/03/10,,,21796.0,,,,,,121.61497615384616,25.0550994,,,,,,,,,,,,,,,,,,,
更新地區-都市計畫,南港鐵路地下化(A)臺電中心倉庫及玉成變電所用地街廓,臺北257,,,臺北市,南港區,,,,變更臺北市南港區鐵路地下化沿線土地主要計畫案,,,,,,,2012/04/10,,,44400.0,,,,,,121.58330861734694,25.04802138265306,,,,,,,,,,,,,,,,,,,
更新地區-都市計畫,南港鐵路地下化(C)臺電修護處、中華電信南港機房用地及部分私有土地,臺北259,,,臺北市,南港區,,,,變更臺北市南港區鐵路地下化沿線土地主要計畫案,,,,,,,2012/04/10,,,86100.0,,,,,,121.59611135454546,25.05322818181818,,,,,,,,,,,,,,,,,,,
更新地區-都市計畫,南港鐵路地下化(D)瓶蓋工廠、交通轉運站與私有土地,臺北260,,,臺北市,南港區,,,,變更臺北市南港區鐵路地下化沿線土地主要計畫案,,,,,,,2012/04/10,,,34000.0,,,,,,121.60447775939849,25.053479511278194,,,,,,,,,,,,,,,,,,,
更新地區-都市計畫,南港鐵路地下化(E)現況為鐵路地下化工程施作工地,臺北261,,,臺北市,南港區,,,,變更臺北市南港區鐵路地下化沿線土地主要計畫案,,,,,,,2012/04/10,,,10900.0,,,,,,121.608312,25.053294276595743,,,,,,,,,,,,,,,,,,,
更新地區-都市計畫,南港鐵路地下化(F)僑泰興及聯華食品工業使用,臺北262,,,臺北市,南港區,,,,變更臺北市南港區鐵路地下化沿線土地主要計畫案,,,,,,,2012/04/10,,,40100.0,,,,,,121.61079729411765,25.05449577647059,,,,,,,,,,,,,,,,,,,
更新地區-都市計畫,原南港輪胎,臺北228,,,臺北市,南港區,,,,擬定臺北市南港區南港路以南、縱貫鐵路以北特定專用區（原南港輪胎工廠）細部計畫案,,,,,,,2010/01/06,,,44600.0,,,,,,121.60061896212122,25.05281347727273,,,,,,,,,,,,,,,,,,,
更新地區-都市計畫,捷運系統松山線地下穿越,臺北212,,,臺北市,,,,,配合捷運系統松山線工程變更沿線土地為交通用地及聯合開發區（捷）暨劃定都市更新地區計畫案,,,,,,,2004/08/31,,,6600.0,,,,,,121.51127388461539,25.051661115384615,,,,,,,,,,,,,,,,,,,
更新地區-都市計畫,捷運南京東路站西北側,臺北213,,,臺北市,中山區,,,,變更台北市中山區捷運南京東路站西北側第三種住宅區、道路用地為第三種商業區（特）及公園用地暨劃定部分地區為都市更新地區計畫案,,,,,,,2007/09/05,,,2200.0,,,,,,121.5432234,25.05285024,,,,,,,,,,,,,,,,,,,
更新地區-都市計畫,復興北與長安東,臺北227,,,臺北市,松山區,,,,變更臺北市松山區復興北路與長安東路口東北側第三種住宅區及道路用地為第三種住宅區(特)及綠地用地暨劃定鄰近土地為更新地區細部計畫案,,,,,,,2009/10/12,,,6854.0,,,,,,121.54523189830509,25.049018644067797,,,,,,,,,,,,,,,,,,,
更新地區-都市計畫,華山社區,臺北207,,,臺北市,中山區,,,,變更臺北市中山北路、忠孝東路、新生南路、長安東路所圍地區(華山地區)都市計畫(主要計畫)案,,,,,,,2003/10/17,,,551600.0,,,,,,121.52843969402986,25.047203246268655,,,,,,,,,,,,,,,,,,,
